vein nodes 25
3.87753 -32.6992 -1.15766
3.93332 -32.937 -1.15776
4.0397 -33.1571 -1.15777
4.17691 -33.3598 -1.15776
4.37196 -33.506 -1.1578
4.59882 -33.5968 -1.15781
4.84126 -33.622 -1.15779
5.0832 -33.5872 -1.15781
5.3129 -33.5051 -1.15781
5.50569 -33.3559 -1.15781
5.65771 -33.1644 -1.15781
5.77926 -32.9522 -1.15778
5.8464 -32.6875 -1.15781
5.82581 -32.4155 -1.15781
5.72009 -32.1634 -1.15782
5.55236 -31.9474 -1.1578
5.3639 -31.7818 -1.15782
5.14151 -31.6685 -1.15782
4.89482 -31.6265 -1.15781
4.6463 -31.6547 -1.15781
4.41443 -31.7323 -1.15781
4.21256 -31.8697 -1.15781
4.041 -32.0409 -1.15776
3.92136 -32.2262 -1.1578
3.87611 -32.4545 -1.1578
proximal artery nodes 13
1.3213 -34.1682 -1.15781
1.37168 -34.2621 -1.15782
1.47769 -34.3344 -1.15782
1.61969 -34.3658 -1.15781
1.74918 -34.3385 -1.15781
1.83392 -34.2538 -1.15782
1.87186 -34.1337 -1.15781
1.84164 -34.0106 -1.15782
1.75716 -33.9144 -1.15781
1.59962 -33.8717 -1.15781
1.51928 -33.8853 -1.15781
1.39145 -33.9612 -1.15782
1.32391 -34.0618 -1.15782
distal artery nodes 15
1.40803 -36.2416 5.86464
1.46745 -36.3563 5.86475
1.54064 -36.4378 5.86489
1.61274 -36.482 5.86493
1.69573 -36.4939 5.86494
1.78696 -36.45 5.8649
1.82205 -36.343 5.86479
1.81303 -36.2168 5.86467
1.76878 -36.0884 5.86454
1.69663 -35.991 5.86443
1.61659 -35.9395 5.86438
1.53238 -35.9266 5.86437
1.44999 -35.9628 5.86441
1.40155 -36.0325 5.86448
1.38533 -36.1232 5.86457
